x/c,cp
0.00103833333333333,0.641857363470266
0.00509,0.195242921947668
0.0101291666666667,-0.133194571904607
0.0201883333333333,-0.362918392509514
0.0402733333333333,-0.603953194681669
0.0603416666666667,-0.687438974560561
0.0804008333333333,-0.771155139893753
0.100450833333333,-0.815637044901191
0.150549166666667,-0.910422035563367
0.200623333333333,-0.967409337295529
0.250683333333333,-1.04771723097973
0.300726666666667,-1.09134131908662
0.3307425,-1.05860712987808
0.360753333333333,-1.07403677683793
0.390756666666667,-1.01185989864085
0.420753333333333,-0.969430752731294
0.460738333333333,-0.914595481340407
0.49072,-0.87505059202775
0.520695833333333,-0.868956916523901
0.550665833333333,-0.865008263405549
0.5806325,-0.873784048498911
0.610595833333333,-0.862624223269819
0.640556666666667,-0.871954184209266
0.670518333333333,-0.811975618704846
0.700475833333333,-0.42148258195737
0.760386666666667,-0.194402710461764
0.840265,-0.101385082811636
